,accuracy,precision,recall,f1
Step 2 -- Baseline (SimpleNN),0.9104651162790698,0.9681697612732095,0.8488372093023255,0.9045848822800495
Step 3 -- Reduce Bias (DeeperNN),0.9058139534883721,0.9462915601023018,0.8604651162790697,0.9013398294762485
Step 4 -- Reduce Variance (RegNN),0.9081395348837209,0.9808219178082191,0.8325581395348837,0.9006289308176101
